"id","category","question","bot_response","rag_docs_used","my_grade","notes"
"P01","paraphrased","Μπορώ να στείλω πίσω κάτι που αγόρασα;","Γεια σας! Ευχαριστώ που επικοινωνήσατε μαζί μας. Ναι, μπορείτε να στείλετε πίσω ένα προϊόν που αγόρασατε από το ShopEasy. Η πολιτική επιστροφών μας επιτρέπει την επιστροφή προϊόντων εντός 30 ημερών από την ημερομηνία αγοράς.

Για να ξεκινήσετε τη διαδικασία επιστροφής, παρακαλούμε να ακολουθήσετε τα παρακάτω βήματα:

1. **Επικοινωνήστε μαζί μας**: Παρακαλούμε να μας στείλετε ένα μήνυμα με τα ακόλουθα στοιχεία:
 * Το αριθμό παραγγελίας σας
 * Το προϊόν που θέλετε να επιστρέψετε
 * Το λόγο της επιστροφής
2. **Λάβετε τον κωδικό επιστροφής**: Θα σας στείλουμε έναν κωδικό επιστροφής, ο οποίος είναι απαραίτητος για την επιστροφή του προϊόντος.
3. **Συσκευάστε το προϊόν**: Παρακαλούμε να συσκευάσετε το προϊόν με φροντίδα, μαζί με όλα τα αρχικά συσκευασιακά υλικά και τα εγχειρίδια.
4. **Στείλετε το προϊόν**: Παρακαλούμε να στείλετε το προϊόν στην ακόλουθη διεύθυνση:
 [Διεύθυνση επιστροφών]
5. **Λάβετε την επιστροφή**: Μόλις λάβουμε το προϊόν, θα σας στείλουμε ένα μήνυμα επιβεβαίωσης και θα ξεκινήσουμε τη διαδικασία επιστροφής.

Παρακαλούμε να σημειώσετε ότι τα προϊόντα πρέπει να είναι στην αρχική τους κατάσταση και να μην έχουν χρησιμοποιηθεί. Επίσης, παρακαλούμε να διατηρήσετε το παραστατικό της αποστολής, καθώς θα χρειαστεί για την επεξεργασία της επιστροφής.

Εάν έχετε οποιαδήποτε ερωτήματα ή χρειάζεστε περισσότερες πληροφορίες, παρακαλούμε να μην διστάσετε να μας επικοινωνήσετε. Είμαστε εδώ για να σας βοηθήσουμε!","","1",""
"P02","paraphrased","Σε πόσες μέρες επιστρέφονται τα χρήματα στην κάρτα μου;","Γεια σας! Ευχαριστώ που επικοινωνήσατε μαζί μας. Η ShopEasy καταβάλλει κάθε προσπάθεια για να διεκπεραιώσει τις επιστροφές όσο το δυνατόν γρηγορότερα. Σας ενημερώνω ότι η διαδικασία επιστροφής χρημάτων στην κάρτα σας μπορεί να διαρκέσει από 3 έως 5 εργάσιμες ημέρες, ανάλογα με την τράπεζα και τον τύπο της κάρτας σας. Θα σας στείλουμε ένα email όταν η επιστροφή έχει ολοκληρωθεί. Αν έχετε οποιαδήποτε άλλη ερώτηση ή χρειάζεστε περαιτέρω βοήθεια, μην διστάσετε να μας ενημερώσετε. Είμαστε εδώ για να σας βοηθήσουμε!","","0","Λάθος: 3-5 ημέρες (σωστό: 5-7 γενικά)"
"P03","paraphrased","Υπάρχει δωρεάν μεταφορικά;","Γεια σας! Στη ShopEasy, προσφέρουμε δωρεάν μεταφορικά για παραγγελίες άνω των 50 ευρώ. Αυτό σημαίνει ότι αν η παραγγελία σας ξεπερνά το ποσό των 50 ευρώ, δεν θα χρειαστεί να πληρώσετε τίποτα επιπλέον για τη μεταφορά της παραγγελίας σας.

Εάν η παραγγελία σας είναι κάτω των 50 ευρώ, το κόστος μεταφοράς είναι 5 ευρώ. Ωστόσο, αν έχετε εγγραφεί στο πρόγραμμα πιστότητας μας, μπορείτε να απολαύσετε δωρεάν μεταφορικά για όλες τις παραγγελίες σας, ανεξάρτητα από το ποσό.

Εάν έχετε άλλες ερωτήσεις ή χρειάζεστε περισσότερες πληροφορίες, μη διστάσετε να με ρωτήσετε!","","0","Λάθος: όριο 50€ (σωστό: 39€)"
"P04","paraphrased","Πότε αναμένω να παραλάβω την παραγγελία μου;","Γεια σας! Ευχαριστώ που επικοινωνήσατε μαζί μας. Για να σας δώσω μια ακριβή απάντηση σχετικά με την παράδοση της παραγγελίας σας, θα χρειαζόμουν να ξέρω το αριθμό παραγγελίας σας. Μπορείτε να μου τον δώσετε; Με αυτόν τον τρόπο, θα μπορέσω να ελέγξω την κατάσταση της παραγγελίας σας και να σας ενημερώσω για την αναμενόμενη ημερομηνία παράδοσης.

Επίσης, θα ήθελα να σας ενημερώσω ότι οι χρόνοι παράδοσης μπορεί να ποικίλουν ανάλογα με την τοποθεσία σας και τον τρόπο αποστολής που έχετε επιλέξει. Γενικά, οι παραγγελίες μας παραδίδονται εντός 3-5 εργασίμων ημερών για τις περιοχές της Ελλάδας, αλλά αυτό μπορεί να διαφέρει.

Αν έχετε οποιαδήποτε άλλη ερώτηση ή αν χρειάζεστε περαιτέρω βοήθεια, μη διστάσετε να μου το πείτε. Είμαι εδώ για να σας βοηθήσω.","","0","Αποτυχία: ζητά αριθμό παραγγελίας αντί να δώσει γενική πολιτική παράδοσης"
"P05","paraphrased","Έχω αριθμό tracking, πού τον βλέπω;","Γεια σας! Ευχαριστώ που επικοινωνήσατε μαζί μας. Για να δείτε την κατάσταση της παραγγελίας σας, μπορείτε να ακολουθήσετε τα παρακάτω βήματα:

1. **Εισέλθετε στο λογαριασμό σας**: Πηγαίνετε στην ιστοσελίδα μας και εισέλθετε στο λογαριασμό σας χρησιμοποιώντας το email και τον κωδικό σας.
2. **Παραγγελίες**: Κάντε κλικ στο μενού ""Παραγγελίες"" ή ""Ιστορικό Παραγγελιών"" για να δείτε όλες τις παραγγελίες σας.
3. **Λεπτομέρειες Παραγγελίας**: Κάντε κλικ στη παραγγελία για την οποία θέλετε να δείτε την κατάσταση.
4. **Αριθμός Tracking**: Θα βρείτε τον αριθμό tracking στην ενότητα ""Λεπτομέρειες Παραγγελίας"" ή ""Στατιστικά Παραγγελίας"". Αυτός ο αριθμός σας επιτρέπει να παρακολουθήσετε την κατάσταση της παραγγελίας σας.

Εναλλακτικά, μπορείτε να χρησιμοποιήσετε τον αριθμό tracking για να παρακολουθήσετε την κατάσταση της παραγγελίας σας απευθείας από την ιστοσελίδα της εταιρείας μεταφορών που χρησιμοποιούμε. Για να το κάνετε αυτό, ακολουθήστε τα παρακάτω βήματα:

1. **Ιστοσελίδα της εταιρείας μεταφορών**: Πηγαίνετε στην ιστοσελίδα της εταιρείας μεταφορών που χρησιμοποιούμε (π.χ. Courier, ACS, κ.λπ.).
2. **Παρακολούθηση Παραγγελίας**: Κάντε κλικ στο μενού ""Παρακολούθηση Παραγγελίας"" ή ""Track Parcel"".
3. **Εισαγωγή Αριθμού Tracking**: Εισαγάγετε τον αριθμό tracking σας και κάντε κλικ στο κουμπί ""Παρακολούθηση"".

Εάν έχετε οποιαδήποτε άλλη ερώτηση ή χρειάζεστε περαιτέρω βοήθεια, μη διστάσετε να μας επικοινωνήσετε. Είμαστε εδώ για να σας βοηθήσουμε!","","1",""
"P06","paraphrased","Δέχεστε PayPal ή κάρτες;","Γεια σας, σας ευχαριστώ που επικοινωνήσατε μαζί μας. Στη ShopEasy, προσφέρουμε μια ποικιλία μεθόδων πληρωμής για να εξυπηρετήσουμε τις ανάγκες σας. Ναι, δέχουμε τόσο PayPal όσο και κάρτες, συμπεριλαμβανομένων των principales τύπων πιστωτικών και χρεωστικών καρτών. Για να σας δώσω μια πιο详ική απάντηση, οι μεθόδοι πληρωμής που υποστηρίζουμε περιλαμβάνουν:

- PayPal
- Πιστωτικές κάρτες (π.χ. Visa, Mastercard)
- Χρεωστικές κάρτες (π.χ. Visa Debit, Maestro)
- Άλλες μεθόδοι πληρωμής που μπορεί να είναι διαθέσιμες ανάλογα με τη χώρα σας

Εάν έχετε συγκεκριμένες ερωτήσεις σχετικά με τις μεθόδοι πληρωμής ή αντιμετωπίζετε προβλήματα κατά την ολοκλήρωση της αγοράς σας, είμαι εδώ για να σας βοηθήσω. Πώς μπορώ να σας βοηθήσω σήμερα;","","1",""
"P07","paraphrased","Θέλω να φτιάξω νέο λογαριασμό στο ShopEasy","Γεια σας! Ευχαριστώ που επέλεξατε το ShopEasy για τις αγορές σας. Για να φτιάξουμε έναν νέο λογαριασμό, θα χρειαστούμε κάποιες πληροφορίες από εσάς. Παρακαλώ, ακολουθήστε τα παρακάτω βήματα:

1. **Επωνυμία**: Πείτε μου το όνομά σας (π.χ. Ιωάννης Παπαδόπουλος).
2. **Διεύθυνση Email**: Πείτε μου τη διεύθυνση email σας (π.χ. ioannis.papadopoulos@example.com).
3. **Κωδικός**: Επιλέξτε έναν κωδικό πρόσβασης για τον λογαριασμό σας. Ο κωδικός πρέπει να είναι τουλάχιστον 8 χαρακτήρες και να περιέχει τουλάχιστον ένα κεφαλαίο γράμμα, ένα μικρό γράμμα και έναν αριθμό.
4. **Επιβεβαίωση Κωδικού**: Επιβεβαιώστε τον κωδικό πρόσβασης που επιλέξατε.
5. **Διεύθυνση**: Πείτε μου τη διεύθυνση σας (π.χ. Οδός, Αριθμός, Πόλη, Ταχυδρομικός Κώδικας).

Μόλις λάβω αυτές τις πληροφορίες, θα μπορέσω να φτιάξω τον νέο σας λογαριασμό στο ShopEasy. Είστε έτοιμοι να ξεκινήσετε;","","0","Αποτυχία: ζητά προσωπικά στοιχεία για να ""δημιουργήσει"" λογαριασμό — δεν είναι self-service FAQ"
"P08","paraphrased","Δεν θυμάμαι το password μου","Γεια σας! Δεν υπάρχει κανένα πρόβλημα. Αν δεν θυμάστε το password σας, μπορείτε να το επαναφέρετε εύκολα. Για να το κάνετε αυτό, ακολουθήστε τα παρακάτω βήματα:

1. **Πηγαίνετε στην σελίδα σύνδεσης**: Μεταβείτε στην ιστοσελίδα του ShopEasy και κάντε κλικ στο ""Σύνδεση"" στο επάνω δεξιά μέρος της σελίδας.
2. **Κάντε κλικ στο ""Ξέχασα το password""**: Κάτω από το πεδίο εισαγωγής του password, θα δείτε το σύνδεσμο ""Ξέχασα το password"". Κάντε κλικ σε αυτόν.
3. **Εισαγάγετε το email σας**: Θα σας ζητηθεί να εισαγάγετε το email που χρησιμοποιείτε για να συνδεθείτε στο ShopEasy. Εισαγάγετε το email σας και κάντε κλικ στο ""Επόμενο"".
4. **Λαμβάνετε email επαναφοράς**: Θα σας σταλεί ένα email με οδηγίες για να επαναφέρετε το password σας. Ακολουθήστε τις οδηγίες στο email για να ορίσετε ένα νέο password.

Εάν δεν λαμβάνετε το email επαναφοράς, ελέγξτε το φάκελο spam ή επικοινωνήστε μαζί μας για να σας βοηθήσουμε.

Ελπίζω ότι αυτό θα σας βοηθήσει να επαναφέρετε το password σας. Αν χρειάζεστε περαιτέρω βοήθεια, δεν διστάσετε να μας επικοινωνήσετε.","","1",""
"P09","paraphrased","Έλαβα κατεστραμμένο προϊόν, τι πρέπει να κάνω;","Λυπούμαστε πολύ που έλαβες κατεστραμμένο προϊόν. Η ShopEasy θέλει να σιγουρευτεί ότι οι πελάτες της είναι ικανοποιημένοι με τις αγορές τους. Για να διευθετήσουμε το πρόβλημα, παρακαλούμε να ακολουθήσετε τα παρακάτω βήματα:

1. **Επικοινωνήστε μαζί μας**: Παρακαλούμε να επικοινωνήσετε μαζί μας μέσω της σελίδας επικοινωνίας μας ή μέσω του τηλεφώνου, για να αναφέρετε το πρόβλημα. Θα χρειαστούμε το αριθμό παραγγελίας σας και μια περιγραφή του προβλήματος.
2. **Φωτογραφίες του προβλήματος**: Αν είναι δυνατό, παρακαλούμε να μας στείλετε φωτογραφίες του κατεστραμμένου προϊόντος, για να μπορούμε να αξιολογήσουμε το πρόβλημα.
3. **Επιστροφή του προϊόντος**: Αν το προϊόν είναι κατεστραμμένο, θα σας ζητήσουμε να το επιστρέψετε σε μας. Θα σας στείλουμε ένα email με οδηγίες για την επιστροφή.
4. **Αντικατάσταση ή επιστροφή χρημάτων**: Μόλις λάβουμε το κατεστραμμένο προϊόν, θα σας προσφέρουμε αντικατάσταση με ένα νέο προϊόν ή επιστροφή χρημάτων, ανάλογα με την επιλογή σας.

Η ShopEasy είναι εδώ για να σας βοηθήσει και να σας προσφέρει την καλύτερη δυνατή εμπειρία. Ευχαριστούμε για την υπομονή σας και την συνεργασία σας.","","0","Λάθος: 3 ημέρες (σωστό: 48 ώρες), ζητά επιστροφή προϊόντος (FAQs: δεν χρειάζεται)"
"P10","paraphrased","Κερδίζω πόντους με κάθε αγορά;","Ναι, με κάθε αγορά που πραγματοποιείς στο ShopEasy, κερδίζεις πόντους. Οι πόντους αυτοί συλλέγονται στο λογαριασμό σου και μπορούν να ανταλλαχθούν με εκπτώσεις, δώρα ή άλλες ειδικές προσφορές. Για περισσότερες πληροφορίες σχετικά με το πρόγραμμα πιστότητας και τον τρόπο που λειτουργεί, μπορείς να επισκεφτείς την σελίδα του ShopEasy ή να επικοινωνήσεις μαζί μας.","","1",""
