"id","category","question","bot_response","rag_docs_used","my_grade","notes"
"P05","paraphrased","Έχω αριθμό tracking, πού τον βλέπω;","Μπορείς να παρακολουθήσεις την παράδοση της παραγγελίας σου μέσω του συνδέσμου που λάβατε στο email με τον αριθμό παρακολούθησης (tracking number) ή από την ενότητα «Οι Παραγγελίες μου» στον λογαριασμό σου.","Παρακολούθηση Παραγγελίας | Τι Γίνεται αν Δεν Ήμουν Εκεί κατά την Παράδοση | Οδηγός Μεγεθών","1",""
"P06","paraphrased","Δέχεστε PayPal ή κάρτες;","Ναι, δεχόμαστε και τις δύο επιλογές. Οι αποδεκτές μέθοδοι πληρωμής μας περιλαμβάνουν πιστωτικές/χρεωστικές κάρτες Visa, Mastercard και American Express, καθώς και PayPal, Google Pay, Apple Pay, και αντικαταβολή (μόνο για Ελλάδα, με επιπλέον χρέωση 2€).","Αποδεκτές Μέθοδοι Πληρωμής | Ασφάλεια Πληρωμών | Αποστολή σε Διαφορετική Διεύθυνση","1",""
"P07","paraphrased","Θέλω να φτιάξω νέο λογαριασμό στο ShopEasy","Για να δημιουργήσετε έναν νέο λογαριασμό στο ShopEasy, ακολουθήστε τα παρακάτω βήματα:

1. Κάντε κλικ στο ""Εγγραφή"" στην πάνω δεξιά γωνία της σελίδας.
2. Συμπληρώστε το email σας και έναν κωδικό πρόσβασης.
3. Θα λάβετε ένα email επαλήθευσης. Κάντε κλικ στον σύνδεσμο που περιέχεται στο email για να ενεργοποιηθεί ο λογαριασμός σας.

Η εγγραφή στο ShopEasy είναι δωρεάν. Αν χρειαστείτε βοήθεια κατά τη διαδικασία, μην διστάσετε να επικοινωνήσετε μαζί μας.","Δημιουργία Λογαριασμού | Αποστολή σε Διαφορετική Διεύθυνση | Αποδεκτές Μέθοδοι Πληρωμής","1",""
"P08","paraphrased","Δεν θυμάμαι το password μου","Για να επαναφορέσετε τον κωδικό σας, μπορείτε να ακολουθήσετε τα παρακάτω βήματα:

1. Πηγαίνετε στη σελίδα σύνδεσης.
2. Κάντε κλικ στο ""Ξέχασα τον κωδικό μου"".
3. Εισάγετε το email σας.
4. Θα λάβετε ένα email με σύνδεσμο επαναφοράς κωδικού, ο οποίος ισχύει για 2 ώρες.

Εάν δεν λάβετε το email εντός 5 λεπτών, ελέγξτε τον φάκελο spam.","Ξεχασμένος Κωδικός | Δημιουργία Λογαριασμού | Αλλαγή Στοιχείων Λογαριασμού","1",""
"P09","paraphrased","Έλαβα κατεστραμμένο προϊόν, τι πρέπει να κάνω;","Συγνώμη να ακούσω ότι το προϊόν που έλαβες είναι κατεστραμμένο. Για να διεκπεραιώσουμε την επιστροφή ή την αντικατάσταση, παρακαλώ επικοινωνήστε μαζί μας εντός 48 ωρών από την παραλαβή. Δεν χρειάζεται να επιστρέψεις το προϊόν — θα σας στείλουμε άμεσα αντικατάσταση ή θα επιστρέψουμε το πλήρες ποσό χωρίς χρέωση αποστολής.","Επιστροφή Ελαττωματικού Προϊόντος | Πολιτική Επιστροφών | Ανταλλαγή Προϊόντος","1",""
"P10","paraphrased","Κερδίζω πόντους με κάθε αγορά;","Ναι, με κάθε αγορά κερδίζεις πόντους. Συγκεκριμένα, για κάθε 1 ευρώ που ξοδεύεις, κερδίζεις 1 πόντο. Αυτοί οι πόντοι μπορούν να εξαργυρωθούν ως έκπτωση, όπου 100 πόντοι ισοδυναμούν με 1 ευρώ.","Πρόγραμμα Πιστότητας ShopEasy Rewards | Κουπόνια και Κωδικοί Έκπτωσης | Αυθεντικότητα Προϊόντων","1",""
"O01","off-topic","Ποιος είναι ο πρωθυπουργός της Ελλάδας;","Θα σε συνδέσω με έναν εκπρόσωπο υποστήριξης. Επικοινώνησε μαζί μας στο support@shopeasy.com","Χρόνοι Παράδοσης | Κόστος Αποστολής | Αποδεκτές Μέθοδοι Πληρωμής","1",""
"O02","off-topic","Πες μου μια ιστορία","Θα σε συνδέσω με έναν εκπρόσωπο υποστήριξης. Επικοινώνησε μαζί μας στο support@shopeasy.com","Ξεχασμένος Κωδικός | Παρακολούθηση Παραγγελίας | Πρόβλημα με Χρέωση","1",""
"O03","off-topic","Τι καιρό κάνει σήμερα;","Θα σε συνδέσω με έναν εκπρόσωπο υποστήριξης. Επικοινώνησε μαζί μας στο support@shopeasy.com","Χρόνοι Παράδοσης | Ξεχασμένος Κωδικός | Πρόβλημα με Χρέωση","1",""
"O04","off-topic","Πώς φτιάχνω σπαγγέτι μπολονέζ;","Θα σε συνδέσω με έναν εκπρόσωπο υποστήριξης. Επικοινώνησε μαζί μας στο support@shopeasy.com","Αυθεντικότητα Προϊόντων | Οδηγός Μεγεθών | Ανταλλαγή Προϊόντος","1",""
"O05","off-topic","Βοήθησέ με να γράψω ένα ποίημα","Θα σε συνδέσω με έναν εκπρόσωπο υποστήριξης. Επικοινώνησε μαζί μας στο support@shopeasy.com","Κόστος Αποστολής | Διαθεσιμότητα Προϊόντων | Ξεχασμένος Κωδικός","1",""
"X01","cross-lingual","How many days do I have to return a product?","Για να επιστρέψετε μια αγορά, μπορείτε να το κάνετε εντός 30 ημερών από την παραλαβή του προιόντος, εφόσον το προϊόν βρίσκεται στην αρχική του κατάσταση και με την αρχική συσκευασία και δεν έχει ανοιχτεί.

Για να ξεκινήσετε την επιστροφή:
1.  Συνδεθείτε στο λογαριασμό σας.
2.  Μεταβείτε στις ""Παραγγελίες μου"".
3.  Επιλέξτε «Επιστροφή» για το συγκεκριμένο προϊόν.

Θα λάβετε μια ετικέτα αποστολής μέσω email εντός 24 ωρών.","Πολιτική Επιστροφών | Χρόνος Επιστροφής Χρημάτων | Επιστροφή Ελαττωματικού Προϊόντος","1",""
"X02","cross-lingual","Is shipping free?","Shipping is free for orders over 39€. For orders under 39€, the shipping cost is 3,50€ for standard delivery and 6€ for express delivery. Additionally, different charges apply for shipments outside of Greece, which will be displayed during the checkout process.","Κόστος Αποστολής | Αποδεκτές Μέθοδοι Πληρωμής | Προϊόντα που Δεν Επιστρέφονται","1",""
"X03","cross-lingual","How do I track my order?","Μετά την αποστολή της παραγγελίας σας, θα λάβετε email με αριθμό παρακολούθησης. Μπορείτε να παρακολουθείτε την παράδοση μέσω του συνδέσμου στο email ή από την ενότητα «Οι Παραγγελίες μου» στον λογαριασμό σας.","Παρακολούθηση Παραγγελίας | Κουπόνια και Κωδικοί Έκπτωσης | Τι Γίνεται αν Δεν Ήμουν Εκεί κατά την Παράδοση","1",""
"X04","cross-lingual","What payment methods do you accept?","We accept a variety of payment methods, including Visa, Mastercard, and American Express credit/debit cards, PayPal, Google Pay, Apple Pay, and cash on delivery (for Greece only, with an additional charge of 2€).","Αποδεκτές Μέθοδοι Πληρωμής | Ασφάλεια Πληρωμών | Χρόνος Επιστροφής Χρημάτων","1",""
"X05","cross-lingual","I received a damaged product, what should I do?","If you received a damaged product, please contact us within 48 hours of receiving it. You don't need to return the product - we will send you a replacement immediately or refund the full amount without any shipping charges.","Επιστροφή Ελαττωματικού Προϊόντος | Ανταλλαγή Προϊόντος | Προϊόντα που Δεν Επιστρέφονται","1",""
